MMSI,LAT,LON,VesselName
338212583,41.46644,-88.1658,ZULLA C
367458590,29.41974,-90.60287,YP-687
369970470,41.70643,-71.16414,Y KNOT ANOTHER
368417000,29.73257,-95.1271,WIND KNOT
367318750,21.32751,-158.11984,WHISTLE
368110590,29.54737,-95.02515,WAYPOINT
319121000,43.60015,-70.17741,VSTAR
367755860,43.52791,-70.06459,VILA NOVA DO CORVO 2
257844000,31.1562,-81.49971,VALOR SW
367681480,47.32071,-122.42508,USS TRUXTUN
316005623,47.29682,-122.42439,UNPLUGGED
338117848,31.1562,-81.49971,ULTRA LEOPARD
367299360,47.56353,-122.62194,TWIST OF FATE
316032784,47.56355,-122.62193,TUESDAY
338334029,47.56353,-122.62196,TROPIC UNITY
367538080,26.92939,-80.08045,TRIPLE ANDY
368086090,47.67435,-122.20858,TREAD SOFTLY
366890110,49.16901,-123.93304,TIRELESS
367511340,37.86104,-122.48537,TIDE ONE ON
367047370,37.86105,-122.48535,THREE SONS
367776630,39.20712,-125.24026,TERNTO
316003666,29.55043,-89.77261,T/T PAIR-A-DICE
366906550,29.83731,-93.95656,STOLT CEDAR
367316630,48.75107,-122.48752,STATE OF MICHIGAN
